state,year,industry_name,total_emp,all_emp_tot,pct_emp
Connecticut,2019,"Agriculture, Forestry, Fishing & Hunting",56870,5128891,1.1088167013102832
Connecticut,2019,Utilities,86779,5128891,1.691964208246968
Connecticut,2019,Construction,763379,5128891,14.883899852814187
Connecticut,2019,Accomodation & Food Services,1547952,5128891,30.18102743848524
Connecticut,2019,"Mining, Quarrying, & Oil and Gas Extraction",6225,5128891,0.12137126719986835
Connecticut,2020,Manufacturing,1849925,4659520,39.7020508550237
Connecticut,2020,Transportation & Warehousing,762888,4659520,16.372673580111254
Connecticut,2020,"Agriculture, Forestry, Fishing & Hunting",57063,4659520,1.2246540416180207
Connecticut,2020,Utilities,85377,4659520,1.8323131996428816
Connecticut,2020,Construction,728615,4659520,15.637125712519746
Connecticut,2020,Accomodation & Food Services,1169591,4659520,25.10110483483277
Connecticut,2020,"Mining, Quarrying, & Oil and Gas Extraction",6061,4659520,0.13007777625163106
Connecticut,2021,Manufacturing,1838665,4901786,37.51010346024898
Connecticut,2021,Transportation & Warehousing,822596,4901786,16.78155676318795
Connecticut,2021,"Agriculture, Forestry, Fishing & Hunting",58624,4901786,1.1959722435863174
Connecticut,2021,Utilities,84134,4901786,1.7163947997729807
Connecticut,2021,Construction,757863,4901786,15.460956475864105
Connecticut,2021,Accomodation & Food Services,1334153,4901786,27.217691674014326
Connecticut,2021,"Mining, Quarrying, & Oil and Gas Extraction",5751,4901786,0.11732458332534305
Connecticut,2022,Manufacturing,1882430,5144665,36.58994317414253
Connecticut,2022,Transportation & Warehousing,870229,5144665,16.915173291166674
Connecticut,2022,"Agriculture, Forestry, Fishing & Hunting",59342,5144665,1.1534667466200423
Connecticut,2022,Utilities,83487,5144665,1.622787878316664
Connecticut,2022,Construction,777828,5144665,15.119118543189888
Connecticut,2022,Accomodation & Food Services,1465603,5144665,28.487821850402312
Connecticut,2022,"Mining, Quarrying, & Oil and Gas Extraction",5746,5144665,0.1116885161618881
Delaware,2015,Transportation & Warehousing,181007,1032422,17.532268781564127
Delaware,2015,Accomodation & Food Services,463600,1032422,44.90411866465457
Delaware,2015,Construction,267262,1032422,25.88689508747392
Delaware,2015,Utilities,25890,1032422,2.5076954966089446
Delaware,2015,"Agriculture, Forestry, Fishing & Hunting",13401,1032422,1.298015733876264
Delaware,2015,"Mining, Quarrying, & Oil and Gas Extraction",0,1032422,0
Delaware,2015,Manufacturing,81262,1032422,7.871006235822174
Delaware,2016,Transportation & Warehousing,185365,1265431,14.648368816632438
Delaware,2016,Accomodation & Food Services,475405,1265431,37.56862286446278
Delaware,2016,Construction,269961,1265431,21.333521938375146
Delaware,2016,Utilities,25878,1265431,2.044994946385856
Delaware,2016,"Agriculture, Forestry, Fishing & Hunting",0,1265431,0
Delaware,2016,"Mining, Quarrying, & Oil and Gas Extraction",0,1265431,0
Delaware,2016,Manufacturing,308822,1265431,24.404491434143782
Delaware,2017,Transportation & Warehousing,182557,1280851,14.252789746816767
Delaware,2017,Accomodation & Food Services,483077,1280851,37.71531583298916
Delaware,2017,Construction,277751,1280851,21.68487981818338
