state,industry_name,total_emp,all_emp_tot,pct_emp
New Mexico,"Agriculture, Forestry, Fishing & Hunting",1046706,22116458,4.732701773493749
New Mexico,Construction,4788599,22116458,21.651744596716167
New Mexico,Manufacturing,2646515,22116458,11.966269644081343
New Mexico,"Mining, Quarrying, & Oil and Gas Extraction",2119699,22116458,9.584260734698114
New Mexico,Utilities,601406,22116458,2.719269061980901
New York,Manufacturing,41382472,187320587,22.09179069036336
New York,Transportation & Warehousing,34753404,187320587,18.552901502492087
New York,Accomodation & Food Services,68004069,187320587,36.30357457720331
New York,Utilities,3604976,187320587,1.9244953572561674
New York,Construction,36565117,187320587,19.520073893426353
New York,"Agriculture, Forestry, Fishing & Hunting",2569249,187320587,1.3715785547906703
New York,"Mining, Quarrying, & Oil and Gas Extraction",441300,187320587,0.2355854244680538
North Carolina,Utilities,1395753,125891543,1.1086948072437242
North Carolina,Transportation & Warehousing,16079869,125891543,12.772795230573989
North Carolina,Accomodation & Food Services,39518746,125891543,31.39110464314509
North Carolina,"Agriculture, Forestry, Fishing & Hunting",2589859,125891543,2.057214438939715
North Carolina,"Mining, Quarrying, & Oil and Gas Extraction",289409,125891543,0.22988756282064157
North Carolina,Construction,21199882,125891543,16.839798365168974
North Carolina,Manufacturing,44818025,125891543,35.60050495210786
North Dakota,Utilities,369195,12751367,2.8953366333193924
North Dakota,Transportation & Warehousing,1837669,12751367,14.411545052385364
North Dakota,Accomodation & Food Services,3235005,12751367,25.369868187465705
North Dakota,Construction,2668716,12751367,20.928861980052805
North Dakota,Manufacturing,2472835,12751367,19.392705111538238
North Dakota,"Agriculture, Forestry, Fishing & Hunting",443474,12751367,3.4778545704158623
North Dakota,"Mining, Quarrying, & Oil and Gas Extraction",1724473,12751367,13.523828464822635
Ohio,Manufacturing,65504484,159346184,41.108285341806486
Ohio,Transportation & Warehousing,23185133,159346184,14.550165192534514
Ohio,Accomodation & Food Services,44270467,159346184,27.782571184760847
Ohio,"Agriculture, Forestry, Fishing & Hunting",1615271,159346184,1.0136866534563513
Ohio,Utilities,2712490,159346184,1.7022622895067259
Ohio,Construction,21033719,159346184,13.200014253243742
Ohio,"Mining, Quarrying, & Oil and Gas Extraction",1024620,159346184,0.6430150846913284
Oklahoma,Manufacturing,12943579,48230672,26.836820768327673
Oklahoma,Transportation & Warehousing,6211017,48230672,12.877732659416397
Oklahoma,Accomodation & Food Services,14577877,48230672,30.225324250095458
Oklahoma,"Agriculture, Forestry, Fishing & Hunting",979281,48230672,2.030411270238988
Oklahoma,Utilities,1477112,48230672,3.0625988375198254
Oklahoma,Construction,8007641,48230672,16.602797904205026
Oklahoma,"Mining, Quarrying, & Oil and Gas Extraction",4034165,48230672,8.364314310196631
Oregon,"Agriculture, Forestry, Fishing & Hunting",5297089,58774592,9.012549164101385
Oregon,Utilities,798715,58774592,1.358946056146166
Oregon,Manufacturing,18220566,58774592,31.000752842316626
Oregon,Transportation & Warehousing,7237392,58774592,12.313810702420529
Oregon,Construction,10380555,58774592,17.661636851515702
Oregon,Accomodation & Food Services,16668418,58774592,28.35990422528156
Oregon,"Mining, Quarrying, & Oil and Gas Extraction",171857,58774592,0.2924001582180273
Pennsylvania,Manufacturing,53791889,158630611,33.910156848604714
Pennsylvania,Transportation & Warehousing,29456673,158630611,18.569349770707245
Pennsylvania,Accomodation & Food Services,42466470,158630611,26.770665341508394
Pennsylvania,"Agriculture, Forestry, Fishing & Hunting",2425026,158630611,1.5287251210297614
Pennsylvania,Construction,24725023,158630611,15.586539599220227
Pennsylvania,Utilities,3313552,158630611,2.0888477823488936
Pennsylvania,"Mining, Quarrying, & Oil and Gas Extraction",2451978,158630611,1.5457155365807673
Rhode Island,Manufacturing,3221861,11010542,29.261602199056142
Rhode Island,Transportation & Warehousing,1347809,11010542,12.241077687183791
Rhode Island,Construction,1717471,11010542,15.598423765151615
Rhode Island,Utilities,113872,11010542,1.0342088518439874
Rhode Island,"Agriculture, Forestry, Fishing & Hunting",43587,11010542,0.39586607089823556
Rhode Island,"Mining, Quarrying, & Oil and Gas Extraction",6433,11010542,0.05842582499571774
Rhode Island,Accomodation & Food Services,4559509,11010542,41.41039560087051
South Carolina,Manufacturing,23732027,64745720,36.65420200748405
South Carolina,Transportation & Warehousing,7369788,64745720,11.38266436762152
South Carolina,Accomodation & Food Services,21284766,64745720,32.87439849305869
South Carolina,Utilities,1447215,64745720,2.2352288305698043
South Carolina,"Agriculture, Forestry, Fishing & Hunting",1019497,64745720,1.574616824092774
South Carolina,"Mining, Quarrying, & Oil and Gas Extraction",166793,64745720,0.25761239507414546
South Carolina,Construction,9725634,64745720,15.021277082099019
South Dakota,Transportation & Warehousing,1226064,12389655,9.89586877116433
South Dakota,Accomodation & Food Services,3817086,12389655,30.808654478272395
South Dakota,"Agriculture, Forestry, Fishing & Hunting",577293,12389655,4.659475990251544
South Dakota,Construction,2278777,12389655,18.39257832441662
South Dakota,Utilities,210773,12389655,1.7012015265961804
South Dakota,Manufacturing,4191520,12389655,33.830804812563386
South Dakota,"Mining, Quarrying, & Oil and Gas Extraction",88142,12389655,0.7114160967355427
Tennessee,Utilities,2128347,94414621,2.254255725921942
Tennessee,Construction,12500770,94414621,13.240290399513441
Tennessee,Manufacturing,33331944,94414621,35.303794737469744
Tennessee,Transportation & Warehousing,17715791,94414621,18.763821548359548
Tennessee,Accomodation & Food Services,27659532,94414621,29.295814257412523
Tennessee,"Mining, Quarrying, & Oil and Gas Extraction",329978,94414621,0.34949883450784597
Tennessee,"Agriculture, Forestry, Fishing & Hunting",748259,94414621,0.7925244968149583
Texas,Manufacturing,84612119,360612912,23.463419135696395
Texas,Transportation & Warehousing,54902861,360612912,15.224873866967915
Texas,Accomodation & Food Services,112708639,360612912,31.25474303593433
Texas,Construction,73405900,360612912,20.355871228482243
Texas,"Agriculture, Forestry, Fishing & Hunting",5725148,360612912,1.5876159198647883
Texas,"Mining, Quarrying, & Oil and Gas Extraction",21240072,360612912,5.889992092130079
Texas,Utilities,8018173,360612912,2.223484720924247
Utah,Transportation & Warehousing,6701761,43363504,15.454841933437852
Utah,Accomodation & Food Services,11628714,43363504,26.816822736465205
Utah,Manufacturing,12908623,43363504,29.768403863304037
Utah,"Agriculture, Forestry, Fishing & Hunting",556309,43363504,1.2828967880455417
Utah,Utilities,392288,43363504,0.9046501408188785
Utah,Construction,10291375,43363504,23.73280305023321
Utah,"Mining, Quarrying, & Oil and Gas Extraction",884434,43363504,2.039581487695275
Vermont,Transportation & Warehousing,855980,8624242,9.925278070814802
Vermont,Utilities,161491,8624242,1.872523985296331
Vermont,Construction,1507592,8624242,17.480863825481705
Vermont,"Agriculture, Forestry, Fishing & Hunting",324715,8624242,3.7651424902037767
Vermont,"Mining, Quarrying, & Oil and Gas Extraction",60152,8624242,0.6974757897563635
Vermont,Manufacturing,2835670,8624242,32.880222980755875
Vermont,Accomodation & Food Services,2878642,8624242,33.37849285769114
Virginia,Manufacturing,23714915,92356200,25.677664304074877
Virginia,Transportation & Warehousing,13581774,92356200,14.705860570270325
Virginia,Accomodation & Food Services,31686483,92356200,34.30899387371936
Virginia,Construction,19805377,92356200,21.44455596917153
Virginia,Utilities,1772586,92356200,1.9192929115749675
Virginia,"Agriculture, Forestry, Fishing & Hunting",1245815,92356200,1.3489240570746739
Virginia,"Mining, Quarrying, & Oil and Gas Extraction",549250,92356200,0.5947083141142663
Washington,Utilities,1852664,96553844,1.9187884430577409
Washington,Manufacturing,28013852,96553844,29.013709697565226
Washington,Transportation & Warehousing,12602296,96553844,13.052091432009687
Washington,Accomodation & Food Services,25308363,96553844,26.211657611477385
Washington,"Agriculture, Forestry, Fishing & Hunting",9765452,96553844,10.11399608284886
Washington,Construction,18793516,96553844,19.46428564770554
Washington,"Mining, Quarrying, & Oil and Gas Extraction",217701,96553844,0.22547108533555638
West Virginia,Transportation & Warehousing,2557505,19277511,13.266780135672079
West Virginia,Construction,3508498,19277511,18.199953303100177
West Virginia,Utilities,551787,19277511,2.862335287994389
West Virginia,Accomodation & Food Services,6102636,19277511,31.65676315785788
West Virginia,"Agriculture, Forestry, Fishing & Hunting",170557,19277511,0.8847459612394982
West Virginia,"Mining, Quarrying, & Oil and Gas Extraction",1942228,19277511,10.075097350482643
West Virginia,Manufacturing,4444300,19277511,23.054324803653333
Wisconsin,Transportation & Warehousing,10982785,94037454,11.67916030563737
Wisconsin,Accomodation & Food Services,22076219,94037454,23.47598543023081
Wisconsin,"Agriculture, Forestry, Fishing & Hunting",2686526,94037454,2.8568680730126954
Wisconsin,"Mining, Quarrying, & Oil and Gas Extraction",313425,94037454,0.3332980495197158
Wisconsin,Utilities,1092196,94037454,1.1614478631035672
Wisconsin,Construction,11822375,94037454,12.571985413386457
Wisconsin,Manufacturing,45063928,94037454,47.92125486510939
Wyoming,Utilities,250361,9505049,2.633979056814962
Wyoming,Transportation & Warehousing,1075008,9505049,11.309862789765734
Wyoming,Accomodation & Food Services,3126813,9505049,32.89633751493548
Wyoming,"Agriculture, Forestry, Fishing & Hunting",260759,9505049,2.743373548100594
Wyoming,Construction,2046648,9505049,21.53221934994759
Wyoming,"Mining, Quarrying, & Oil and Gas Extraction",1813309,9505049,19.077324062190527
Wyoming,Manufacturing,932151,9505049,9.806903678245108
Puerto Rico,Transportation & Warehousing,1941625,20562705,9.442459053903656
Puerto Rico,Accomodation & Food Services,7107441,20562705,34.56471801740092
Puerto Rico,Utilities,800352,20562705,3.8922505575020407
Puerto Rico,Construction,2520094,20562705,12.255654107764519
Puerto Rico,"Agriculture, Forestry, Fishing & Hunting",951002,20562705,4.624887630299613
Puerto Rico,"Mining, Quarrying, & Oil and Gas Extraction",52548,20562705,0.2555500358537459
Puerto Rico,Manufacturing,7189643,20562705,34.964480597275504
Virgin Islands,Transportation & Warehousing,137237,1003607,13.67437652387837
Virgin Islands,Utilities,57217,1003607,5.701136002439202
Virgin Islands,"Agriculture, Forestry, Fishing & Hunting",555,1003607,0.05530053098473805
Virgin Islands,"Mining, Quarrying, & Oil and Gas Extraction",7049,1003607,0.7023665638043577
Virgin Islands,Construction,225027,1003607,22.421824479103872
Virgin Islands,Manufacturing,61210,1003607,6.099000903740209
Virgin Islands,Accomodation & Food Services,515312,1003607,51.34599499604925
